Date,Open,High,Low,Close,Adj Close,Volume
2022-08-10,58900,59200,58600,59100,57137.41016,18084349
2022-08-11,59600,60000,59300,59900,57910.84375,15141941
2022-08-12,59500,60700,59400,60200,58200.87891,10786658
2022-08-16,60500,61600,60300,61000,58974.3125,15036727
2022-08-17,61100,61200,60300,60400,58394.24219,9061518
2022-08-18,60300,61900,60000,61500,59457.70703,16372754
2022-08-19,61400,61600,60600,60900,58877.63672,6923679
2022-08-22,60300,60400,59800,60000,58007.52344,8259865
2022-08-23,59000,59600,59000,59100,57137.41016,9041629
2022-08-24,59200,59500,59000,59000,57040.72656,8888486
2022-08-25,59200,59700,59000,59700,57717.48438,5767902
2022-08-26,60300,60900,59900,60000,58007.52344,9499995
2022-08-29,58700,58900,58600,58600,56654.01172,9841329
2022-08-30,58700,59000,58300,58800,56847.37109,9690044
2022-08-31,58200,59900,58200,59700,57717.48438,14203512
2022-09-01,58700,58900,58300,58400,56460.65625,14905777
2022-09-02,58300,58600,57500,57500,55590.53906,15040310
2022-09-05,57400,57800,56800,57100,55203.82422,11425977
2022-09-06,57200,57600,56900,57100,55203.82422,7503086
2022-09-07,56700,56700,55900,56000,54140.35156,17384854
2022-09-08,56200,56400,55600,55600,53753.63672,18000016
2022-09-13,57000,58500,56800,58100,56170.62109,17166581
2022-09-14,56200,57200,56100,56800,54913.78906,12524961
2022-09-15,57000,57100,56000,56000,54140.35156,11664819
2022-09-16,55600,56400,55500,56200,54333.71094,13456503
2022-09-19,56300,57000,56000,56400,54527.07813,12278653
2022-09-20,56400,57000,55800,55800,53946.99609,14041465
2022-09-21,55400,55500,55000,55300,53463.59766,11863700
2022-09-22,54600,54700,54300,54400,52593.48828,12786510
2022-09-23,54400,54900,54200,54500,52690.16797,10555964
2022-09-26,53700,54200,53600,53900,52110.08984,15008449
2022-09-27,53800,54200,53500,54200,52400.125,16631289
2022-09-28,53900,54400,52500,52900,51143.29688,19991129
2022-09-29,53300,53700,52600,52600,51202.67578,13882080
2022-09-30,52300,53600,51800,53100,51689.39844,22503249
2022-10-04,55300,55400,54500,55200,53733.60938,19148435
2022-10-05,56900,57200,55400,56000,54512.35547,22458970
2022-10-06,56700,57300,56300,56300,54804.38672,14944446
2022-10-07,55900,56900,55200,56200,54707.04297,16886813
2022-10-11,54400,55700,54000,55400,53928.29688,21437877
2022-10-12,55700,57000,55200,55800,54317.66406,18408910
2022-10-13,55400,56100,55200,55200,53733.60938,13784602
2022-10-14,56200,56500,55800,56300,54804.38672,12924326
2022-10-17,55800,57000,55700,56600,55096.41406,13641878
2022-10-18,56700,57100,55800,56500,54999.07422,14820702
2022-10-19,56700,56900,55700,55800,54317.66406,12660652
2022-10-20,55200,56000,55100,55500,54025.63672,17107653
2022-10-21,55100,56300,55100,55900,54415.00781,11456060
2022-10-24,57000,57500,56700,57500,55972.50391,16944503
2022-10-25,57000,58600,57000,57700,56167.19141,17405678
2022-10-26,58000,59600,57700,59400,57822.03516,20824967
2022-10-27,59700,60100,58900,59500,57919.375,21756712
2022-10-28,58900,59200,57200,57300,55777.82031,20924937
2022-10-31,58100,59900,58000,59400,57822.03516,18999514
2022-11-01,59900,60300,59500,60000,58406.09766,17201647
2022-11-02,59700,60000,59300,59600,58016.72266,13202919
2022-11-03,58600,59800,58100,59200,57627.34766,17492162
2022-11-04,59100,59500,58400,59400,57822.03516,12445841
2022-11-07,59700,60300,59400,60200,58600.78125,12437246
2022-11-08,60500,61900,60500,61800,60158.27734,18273898
2022-11-09,62000,62200,61300,62000,60352.96875,14045592
2022-11-10,61400,61500,60400,60400,58795.46875,21087633
2022-11-11,63100,63200,62300,62900,61229.05859,20037163
2022-11-14,62900,62900,61700,61900,60255.62109,15973416
2022-11-15,62200,62500,61600,62400,60742.33984,12310986
2022-11-16,62400,62700,61700,62700,61034.36719,12909260
2022-11-17,62000,62000,61300,61400,59768.90625,13298296
2022-11-18,61800,62400,61400,61800,60158.27734,12236503
2022-11-21,61400,61800,60800,61400,59768.90625,9378097
2022-11-22,60900,61200,60300,60600,58990.15625,9411289
2022-11-23,61200,61300,60700,61000,59379.53125,8765050
2022-11-24,61200,61700,60900,61400,59768.90625,8125010
2022-11-25,61400,61700,60800,61000,59379.53125,6677933
2022-11-28,60500,60500,59800,60100,58503.4375,8589032
2022-11-29,59900,60600,59800,60600,58990.15625,7014160
2022-11-30,60400,62200,60200,62200,60547.65625,19768903
2022-12-01,63100,63200,62300,62600,60937.02344,16631445
2022-12-02,62500,62500,60400,60400,58795.46875,15331184
2022-12-05,60900,61100,60000,60300,58698.125,13767787
2022-12-06,59800,60100,59200,59200,57627.34766,13888300
2022-12-07,58800,59600,58500,58900,57335.31641,12100662
2022-12-08,58700,59200,58600,59200,57627.34766,12986815
2022-12-09,59300,60600,59300,60400,58795.46875,10529632
2022-12-12,59900,60000,59400,59500,57919.375,9036472
2022-12-13,59600,60300,59400,59700,58114.0625,9040873
2022-12-14,59800,60600,59800,60500,58892.8125,8207485
2022-12-15,59800,60200,59300,59300,57724.6875,8716039
2022-12-16,58300,59500,58300,59500,57919.375,13033596
2022-12-19,59500,59900,59100,59500,57919.375,7696187
2022-12-20,59000,59100,58500,58600,57043.28516,9284761
2022-12-21,58700,59100,58000,58000,56459.22656,10356971
2022-12-22,58100,59100,58100,59100,57530,10720630
2022-12-23,58200,58400,57700,58100,56556.57031,9829407
2022-12-26,58000,58100,57700,57900,56361.87891,6756411
2022-12-27,58000,58400,57900,58100,56556.57031,10667027
2022-12-28,57600,57600,56400,56600,55440.89453,14665410
2022-12-29,56000,56200,55300,55300,54167.51563,11295935
2023-01-02,55500,56100,55200,55500,54363.42188,10031448
2023-01-03,55400,56000,54500,55400,54265.47266,13547030
2023-01-04,55700,58000,55600,57800,56616.32031,20188071
2023-01-05,58200,58800,57600,58200,57008.12891,15682826
2023-01-06,58300,59400,57900,59000,57791.75,17334989
2023-01-09,59700,60700,59600,60700,59456.92969,18640107
2023-01-10,60200,61100,59900,60400,59163.07813,14859797
2023-01-11,61000,61200,60300,60500,59261.02734,12310751
2023-01-12,61100,61200,59900,60500,59261.02734,16102561
2023-01-13,60500,61200,60400,60800,59554.88281,12510328
2023-01-16,61300,61600,60800,61100,59848.74219,10039972
